Survived,Age,Sex,Class
FALSE,23,male,3
FALSE,23,male,3
FALSE,23,male,3
FALSE,23,male,3
FALSE,23,male,3
TRUE,24,female,3
FALSE,24,male,3
FALSE,24,male,1
TRUE,24,male,3
FALSE,24,male,1
TRUE,24,female,3
FALSE,24,female,2
FALSE,24,male,3
FALSE,24,male,2
TRUE,24,female,2
FALSE,24,female,3
FALSE,24,male,3
TRUE,24,male,3
TRUE,24,female,1
TRUE,24,female,2
TRUE,24,female,1
TRUE,24,female,2
TRUE,24,female,1
TRUE,24,female,3
TRUE,24,female,2
FALSE,24,male,3
FALSE,24,male,3
FALSE,24,male,3
TRUE,24,female,3
FALSE,24,male,3
TRUE,24,female,2
TRUE,24,female,2
TRUE,24,female,1
FALSE,24,male,2
TRUE,24,female,1
FALSE,24,male,3
FALSE,24,male,3
TRUE,24,female,3
FALSE,24,male,2
FALSE,25,male,3
FALSE,25,male,3
FALSE,25,male,2
FALSE,25,female,3
TRUE,25,male,3
TRUE,25,male,3
FALSE,25,male,2
FALSE,25,male,3
TRUE,25,male,1
TRUE,25,female,1
FALSE,25,male,3
TRUE,25,male,1
FALSE,25,female,1
TRUE,25,female,2
FALSE,25,male,2
FALSE,25,male,2
FALSE,25,male,3
FALSE,25,male,3
FALSE,25,male,2
FALSE,25,female,3
FALSE,25,male,3
FALSE,25,male,3
FALSE,25,male,3
TRUE,25,female,2
FALSE,25,male,3
TRUE,26,female,3
FALSE,26,male,3
FALSE,26,male,3
FALSE,26,male,3
FALSE,26,male,3
FALSE,26,male,3
TRUE,26,female,3
TRUE,26,male,3
TRUE,26,female,1
FALSE,26,female,2
TRUE,26,female,3
FALSE,26,male,3
FALSE,26,male,3
TRUE,26,male,3
FALSE,26,female,3
FALSE,26,male,2
FALSE,26,male,3
FALSE,26,male,3
FALSE,26,male,3
FALSE,26,male,3
TRUE,26,male,1
FALSE,27,male,3
TRUE,27,female,3
FALSE,27,female,2
TRUE,27,female,3
TRUE,27,male,3
FALSE,27,male,3
TRUE,27,female,3
FALSE,27,male,2
FALSE,27,male,3
FALSE,27,male,3
FALSE,27,male,1
FALSE,27,male,3
FALSE,27,male,3
TRUE,27,male,2
FALSE,27,male,2
TRUE,27,male,1
FALSE,27,male,3
FALSE,27,male,3
TRUE,27,male,1
TRUE,27,female,2
TRUE,27,male,1
TRUE,27,male,3
TRUE,27,male,3
TRUE,27,female,3
TRUE,27,female,2
FALSE,27,male,2
TRUE,28,male,1
FALSE,28,male,1
FALSE,28,male,3
FALSE,28,male,1
FALSE,28,female,3
FALSE,28,male,3
TRUE,28,female,3
FALSE,28,male,3
FALSE,28,male,3
FALSE,28,male,3
FALSE,28,male,1
FALSE,28,male,3
FALSE,28,male,3
FALSE,28,male,3
TRUE,28,female,3
FALSE,28,male,2
FALSE,28,male,3
FALSE,28,male,3
TRUE,28,female,2
FALSE,28,male,3
FALSE,28,female,3
TRUE,28,female,2
FALSE,28,male,3
TRUE,28,male,1
TRUE,28,female,2
FALSE,28,male,3
FALSE,28,male,3
FALSE,28,male,2
FALSE,28,male,3
TRUE,28,female,2
FALSE,28,female,3
TRUE,28,female,3
FALSE,28,male,3
FALSE,28,male,3
FALSE,28,male,2
TRUE,28,female,2
FALSE,28,male,2
FALSE,29,male,3
FALSE,29,male,3
TRUE,29,female,2
TRUE,29,female,2
TRUE,29,male,3
FALSE,29,male,3
FALSE,29,male,3
TRUE,29,male,3
FALSE,29,male,2
TRUE,29,female,2
FALSE,29,male,3
FALSE,29,male,2
FALSE,29,female,3
TRUE,29,female,3
FALSE,29,male,1
FALSE,29,male,2
FALSE,29,male,3
TRUE,29,male,3
TRUE,29,male,3
FALSE,29,male,3
TRUE,29,male,3
FALSE,29,female,3
FALSE,29,male,3
TRUE,29,female,1
FALSE,29,male,3
FALSE,29,male,1
TRUE,29,male,1
FALSE,30,male,3
TRUE,30,female,3
FALSE,30,male,3
FALSE,30,male,2
FALSE,30,male,2
FALSE,30,male,2
FALSE,30,male,3
FALSE,30,male,3
TRUE,30,female,1
TRUE,30,male,3
FALSE,30,male,1
FALSE,30,male,2
TRUE,30,female,1
TRUE,30,female,2
FALSE,30,male,3
FALSE,30,male,3
FALSE,30,male,2
FALSE,30,male,1
FALSE,30,male,3
FALSE,30,male,3
TRUE,30,female,1
FALSE,30,female,3
TRUE,30,female,1
FALSE,30,male,3
FALSE,30,male,3
FALSE,30,male,1
TRUE,30,female,2
TRUE,30,female,2
FALSE,30,male,3
FALSE,30,female,3
FALSE,30,male,3
TRUE,30,female,1
FALSE,30,male,3
FALSE,30,female,3
FALSE,31,male,3
FALSE,31,female,3
TRUE,31,female,3
TRUE,31,female,1
TRUE,31,female,1
TRUE,31,female,3
FALSE,31,female,3
FALSE,31,male,2
TRUE,31,female,2
FALSE,31,male,2
FALSE,31,male,1
TRUE,31,male,2
TRUE,31,male,1
TRUE,31,male,3
FALSE,31,male,3
TRUE,31,female,3
TRUE,31,female,2
FALSE,31,male,3
FALSE,31,male,2
FALSE,31,male,1
FALSE,32,male,2
TRUE,32,male,3
TRUE,32,female,2
FALSE,32,male,3
TRUE,32,female,1
FALSE,32,male,3
FALSE,32,female,3
TRUE,32,male,3
FALSE,32,male,3
TRUE,32,male,2
TRUE,32,male,3
TRUE,32,male,3
TRUE,32,male,1
FALSE,32,male,3
TRUE,32,male,3
FALSE,32,female,3
FALSE,32,male,2
FALSE,32,male,3
FALSE,32,male,3
TRUE,32,male,3
FALSE,32,male,3
FALSE,33,male,2
TRUE,33,female,2
TRUE,33,female,3
FALSE,33,male,3
FALSE,33,male,3
FALSE,33,male,2
TRUE,33,female,3
FALSE,33,male,3
TRUE,33,female,1
TRUE,33,female,3
TRUE,33,female,2
TRUE,33,female,2
FALSE,33,male,3
FALSE,33,male,3
FALSE,33,male,3
TRUE,33,female,1
TRUE,33,female,1
FALSE,33,male,1
FALSE,33,male,3
TRUE,34,male,2
TRUE,34,female,2
FALSE,34,male,2
FALSE,34,male,3
TRUE,34,female,3
FALSE,34,male,2
TRUE,34,female,2
TRUE,34,male,1
FALSE,34,male,3
FALSE,34,male,3
FALSE,34,male,2
TRUE,34,female,2
TRUE,34,female,2
FALSE,34,male,3
FALSE,34,male,2
FALSE,34,male,3
FALSE,34,male,2
FALSE,35,male,3
TRUE,35,female,1
FALSE,35,male,3
FALSE,35,male,2
TRUE,35,female,2
TRUE,35,female,1
TRUE,35,female,1
TRUE,35,female,1
TRUE,35,female,3
FALSE,35,male,3
TRUE,35,female,3
TRUE,35,female,1
TRUE,35,female,1
FALSE,35,male,3
FALSE,35,male,3
TRUE,35,male,1
FALSE,35,male,3
TRUE,35,male,1
TRUE,35,male,1
FALSE,35,male,3
FALSE,35,male,2
FALSE,35,male,3
FALSE,36,male,3
FALSE,36,male,3
FALSE,36,male,2
FALSE,36,male,2
TRUE,36,female,1
TRUE,36,female,2
FALSE,36,male,2
TRUE,36,female,2
TRUE,36,male,1
FALSE,36,male,2
TRUE,36,male,1
TRUE,36,female,2
TRUE,36,female,1
TRUE,36,female,3
TRUE,36,male,1
FALSE,36,male,1
FALSE,36,male,3
FALSE,36,male,3
FALSE,36,male,3
TRUE,36,male,1
FALSE,36,male,1
TRUE,36,female,1
FALSE,36,male,3
FALSE,37,male,2
FALSE,37,male,3
FALSE,37,male,1
FALSE,37,male,3
TRUE,37,male,1
FALSE,37,male,1
FALSE,37,male,2
FALSE,37,female,3
TRUE,37,male,1
FALSE,37,male,2
FALSE,37,male,1
FALSE,37,male,3
TRUE,37,male,3
TRUE,38,female,1
TRUE,38,female,3
TRUE,38,female,1
FALSE,38,male,3
TRUE,38,male,1
TRUE,38,female,1
FALSE,38,male,1
FALSE,38,female,2
FALSE,38,male,3
FALSE,38,male,3
TRUE,38,female,1
FALSE,38,male,1
FALSE,39,male,3
FALSE,39,male,2
FALSE,39,male,1
TRUE,39,male,3
FALSE,39,male,3
FALSE,39,male,3
TRUE,39,female,1
TRUE,39,female,1
TRUE,39,female,1
FALSE,39,female,3
FALSE,39,male,2
FALSE,39,male,2
FALSE,39,male,1
FALSE,39,male,2
FALSE,39,male,3
FALSE,39,male,1
TRUE,39,female,1
FALSE,39,female,3
FALSE,40,male,1
FALSE,40,female,3
FALSE,40,female,3
TRUE,40,female,2
FALSE,40,male,3
TRUE,40,male,1
FALSE,40,male,1
TRUE,40,female,1
TRUE,40,female,2
FALSE,40,male,3
FALSE,40,male,1
FALSE,40,male,3
FALSE,40,male,3
FALSE,40,female,3
TRUE,40,female,1
FALSE,40,male,3
TRUE,40,female,2
TRUE,40,female,1
FALSE,41,male,3
FALSE,41,male,3
FALSE,41,female,3
TRUE,41,female,2
TRUE,41,female,1
TRUE,41,female,1
FALSE,41,female,3
FALSE,41,male,1
FALSE,41,male,2
FALSE,41,male,3
FALSE,41,male,3
FALSE,42,male,1
FALSE,42,male,2
FALSE,42,male,3
FALSE,42,male,2
TRUE,42,male,2
TRUE,42,female,1
TRUE,42,female,1
FALSE,42,male,3
TRUE,42,female,1
FALSE,42,male,3
TRUE,42,female,2
FALSE,42,male,3
TRUE,42,male,1
FALSE,42,male,3
TRUE,42,male,1
FALSE,42,male,3
TRUE,42,female,2
FALSE,43,male,2
FALSE,43,male,1
FALSE,43,male,3
FALSE,43,female,3
TRUE,43,female,1
FALSE,43,male,1
FALSE,43,male,3
FALSE,44,male,3
TRUE,44,female,1
FALSE,44,male,2
FALSE,44,male,1
TRUE,44,male,3
TRUE,44,female,1
FALSE,44,male,3
FALSE,44,male,3
FALSE,44,female,2
FALSE,45,male,1
FALSE,45,male,3
FALSE,45,female,3
TRUE,45,male,1
FALSE,45,female,3
TRUE,45,male,3
FALSE,45,male,1
FALSE,45,female,3
TRUE,45,female,2
FALSE,45,male,1
FALSE,45,male,1
TRUE,45,female,2
TRUE,45,male,1
TRUE,45,female,1
FALSE,46,male,3
FALSE,46,male,1
TRUE,46,male,1
FALSE,46,male,1
TRUE,46,female,2
FALSE,46,male,2
FALSE,46,male,1
FALSE,46,male,1
FALSE,47,male,1
FALSE,47,female,3
TRUE,47,male,1
FALSE,47,male,1
FALSE,47,male,1
FALSE,47,male,2
FALSE,47,male,3
FALSE,47,male,1
TRUE,47,female,1
FALSE,47,male,3
TRUE,48,female,1
TRUE,48,female,1
TRUE,48,male,1
FALSE,48,male,2
TRUE,48,female,1
TRUE,48,male,1
TRUE,48,female,1
TRUE,48,male,1
FALSE,48,female,3
TRUE,48,female,2
FALSE,48,male,3
TRUE,48,female,1
TRUE,49,female,1
TRUE,49,male,1
FALSE,49,male,1
FALSE,49,male,3
TRUE,49,male,1
FALSE,49,male,3
FALSE,49,male,1
TRUE,49,female,1
FALSE,50,female,1
TRUE,50,female,2
TRUE,50,female,1
FALSE,50,male,1
TRUE,50,female,2
FALSE,50,male,3
TRUE,50,female,2
FALSE,50,male,1
TRUE,50,male,1
FALSE,50,male,2
FALSE,51,male,2
FALSE,51,male,1
FALSE,51,male,3
FALSE,51,male,3
FALSE,51,male,3
TRUE,51,female,1
TRUE,51,male,1
FALSE,52,male,1
TRUE,52,male,1
TRUE,52,female,1
FALSE,52,male,2
FALSE,52,male,2
TRUE,52,female,1
TRUE,53,female,1
FALSE,54,male,1
FALSE,54,male,1
FALSE,54,male,2
FALSE,54,male,2
FALSE,54,male,3
TRUE,54,female,1
TRUE,54,female,1
FALSE,54,male,2
TRUE,54,female,2
TRUE,55,female,2
FALSE,55,male,1
FALSE,55,male,3
FALSE,56,male,3
FALSE,56,male,1
FALSE,56,male,1
TRUE,56,male,1
TRUE,56,female,1
FALSE,57,male,1
FALSE,57,male,2
FALSE,57,female,2
TRUE,58,female,1
TRUE,58,female,1
TRUE,58,female,1
FALSE,58,male,1
FALSE,58,male,1
FALSE,59,male,3
FALSE,59,male,2
FALSE,60,male,1
TRUE,60,female,1
TRUE,60,male,1
FALSE,60,male,2
FALSE,60,male,1
FALSE,61,male,1
FALSE,61,male,3
FALSE,61,male,1
FALSE,62,male,1
FALSE,62,male,1
FALSE,62,female,3
TRUE,62,male,2
TRUE,62,female,1
TRUE,63,female,1
TRUE,63,female,3
FALSE,64,male,1
FALSE,64,male,1
FALSE,64,male,1
FALSE,65,male,1
FALSE,65,male,3
FALSE,65,male,1
FALSE,66,male,2
FALSE,66,male,3
FALSE,69,male,3
FALSE,70,male,2
FALSE,70,male,1
FALSE,71,male,3
FALSE,71,male,1
FALSE,71,male,1
FALSE,74,male,3
TRUE,80,male,1
